Rule Id;Violation Kind;Violating Unit;Violation Label;First Unit;Second Unit
ADR15;DRIFT;org.apache.cassandra.db.marshal.InetAddressType;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.tools.nodetool.PauseHandoff;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.cql3.statements.DropRoleStatement;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.transport.messages.AuthChallenge;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.security.EncryptionContext;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.config.Schema;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.cql3.statements.UpdateStatement;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.tools.BulkLoader$ExternalClient;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.service.DatacenterSyncWriteResponseHandler;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.cql3.statements.DropTriggerStatement;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.index.sasi.disk.TokenTree$OnDiskToken;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.tools.NodeProbeFactory;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.utils.memory.EnsureOnHeap$CloneToHeap;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.cql3.statements.ModificationStatement$Parsed;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.cql3.functions.UDFunction;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.db.LegacyLayout$LegacyRangeTombstone;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.cql3.statements.DropTableStatement;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.cache.CacheKey;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.schema.Keyspaces;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.thrift.ThriftValidation;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.thrift.ThriftConversion;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.db.Memtable$LastCommitLogPosition;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.index.sasi.analyzer.StandardAnalyzer;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.db.UnfilteredDeserializer$OldFormatDeserializer$UnfilteredIterator$TombstoneTracker;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.batchlog.BatchlogManager$ReplayingBatch$ReplayWriteResponseHandler;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.cql3.ResultSet$ResultMetadata$Codec;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.io.util.SpinningDiskOptimizationStrategy;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.io.sstable.format.SSTableReader$Factory;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.tools.nodetool.RangeKeySample;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.utils.UUIDGen;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.db.LegacyLayout;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.gms.GossipDigestAckSerializer;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.io.util.TrackedDataInputPlus;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.utils.btree.TreeCursor;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.tools.nodetool.stats.CompactionHistoryHolder$CompactionHistoryRow;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.tools.nodetool.TruncateHints;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.service.pager.PagingState;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.cql3.ColumnIdentifier;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.index.internal.composites.PartitionKeyIndex;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.cql3.MultiColumnRelation$SuperColumnMultiColumnRelation;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.cql3.selection.Selectable$WithFunction;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.io.sstable.format.SSTableReader$Operator$GreaterThan;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.cql3.Lists$SetterByIndex;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.transport.Event$SchemaChange;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.repair.RepairResult;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.tools.nodetool.ProxyHistograms;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.locator.Ec2MultiRegionSnitch;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.db.ClusteringPrefix$Deserializer;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.cql3.MultiColumnRelation;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.gms.VersionedValue$VersionedValueSerializer;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.io.sstable.format.SSTableWriter$TransactionalProxy;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.db.compaction.TimeWindowCompactionStrategy;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.db.commitlog.MemoryMappedSegment;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.db.EmptyIterators$EmptyUnfilteredPartitionIterator;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.index.sasi.disk.OnDiskIndex$PointerLevel;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.metrics.DroppedMessageMetrics;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.index.sasi.disk.PerSSTableIndexWriter$Index;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.utils.concurrent.Ref$Debug;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.cql3.CFName;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.db.MutationVerbHandler;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.exceptions.ConfigurationException;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.db.partitions.ImmutableBTreePartition;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.io.util.SequentialWriter$TransactionalProxy;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.db.monitoring.MonitoringTask$Operation;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.db.Directories$SSTableSizeSummer;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.index.sasi.SSTableIndex;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.tools.nodetool.DescribeRing;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.exceptions.InvalidRequestException;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.db.Mutation$MutationSerializer;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.gms.EchoMessage$EchoMessageSerializer;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.utils.NoSpamLogger$NoSpamLogStatement;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.dht.LocalPartitioner$LocalToken;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.utils.BiMultiValMap;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.cql3.functions.CastFcts$CassandraFunctionWrapper;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.index.sasi.plan.QueryPlan$ResultIterator$PartitionIterator;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.index.sasi.utils.RangeUnionIterator;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.utils.concurrent.WaitQueue$RegisteredSignal;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.db.filter.ClusteringIndexSliceFilter;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.db.partitions.AbstractBTreePartition$SlicesIterator;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.index.sasi.analyzer.filter.FilterPipelineExecutor;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.db.filter.DataLimits$SuperColumnCountingLimits$SuperColumnCountingCounter;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.index.sasi.disk.AbstractTokenTreeBuilder$Node$RootHeader;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.db.ReadCommand$CheckForAbort;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.transport.Message$Dispatcher$FlushItem;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.streaming.management.SessionCompleteEventCompositeData;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.db.compaction.LeveledCompactionTask;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.tools.nodetool.SetTraceProbability;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.thrift.TServerFactory$Args;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.hints.HintMessage;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.db.commitlog.CommitLogSegmentManagerCDC$CDCSizeTracker;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.streaming.messages.IncomingFileMessage;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.concurrent.JMXEnabledThreadPoolExecutor;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.tools.StandaloneScrubber;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.repair.ValidationTask;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.db.compaction.CompactionManager$CleanupStrategy$Bounded;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.transport.Frame$Compressor;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.db.MigrationRequestVerbHandler;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.db.compaction.CompactionLogger;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.db.BufferClustering;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.cql3.functions.NativeFunction;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.security.CipherFactory$CachedCipher;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.db.UnfilteredDeserializer$OldFormatDeserializer;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.transport.Message$Dispatcher$Flusher;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.cql3.statements.CreateTypeStatement;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.db.compaction.CompactionManager$CompactionExecutor;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.utils.btree.BTreeSet$BTreeRange;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.utils.MerkleTree$Leaf;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.db.filter.DataLimits$CQLLimits;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.cql3.statements.TruncateStatement;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.service.ReadCallback;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.repair.messages.SyncComplete$SyncCompleteSerializer;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.service.MigrationManager;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.io.util.DataInputPlus$DataInputStreamPlus;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.index.sasi.disk.OnDiskIndexBuilder$InMemoryDataTerm;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.db.filter.ColumnFilter$Builder;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.exceptions.WriteTimeoutException;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.index.sasi.utils.CombinedTerm;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.service.StorageProxy$LocalMutationRunnable;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.dht.RangeStreamer$FailureDetectorSourceFilter;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.cql3.Sets$Discarder;NoA > 15;none;none
ADR15;DRIFT;org.apache.cassandra.cql3.ErrorCollector;NoA > 15;none;none
