Unit;LoC;NOC;CBO;DIT;RFC;WMC;LCOM;LCOM2;LCOM3;NoA;NoPA;NoM;NoPM;NoI;Ca;Ce;CCC;LMLoC;LPL;TLoC;CLoC;FLoC;ECC;FCC;HCC;TCC;RCo;SCo;HCo;NoR;NoS;NoH;TFC;NoCA;NoCI;NoCRN;NoDR;NoEH;NoGH;NoGS;NoNPB;NoOC;NoOCA;NoSF;NoSKS
org.apache.cassandra.gms.GossipDigestAck2MessageSerializer;17.0;0.0;15.0;1.0;5.0;1.0;0.0;1.0;0.0;0.0;0.0;3.0;3.0;3.0;0.0;0.0;4.0;3.0;3.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.hadoop.ColumnFamilyRecordWriter$RangeClient;157.0;0.0;42.0;2.0;27.0;21.0;5.0;0.6;0.75;7.0;0.0;5.0;4.0;26.0;0.0;0.0;26.0;71.0;1.0;9.0;18.0;0.0;25.0;0.0;11.0;8.0;2.0;1.0;2.0;4.0;2.0;5.0;1.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;5.0;0.0;0.0;0.0;0.0
org.apache.cassandra.cli.CliUserHelp;6.0;0.0;5.0;1.0;0.0;0.0;0.0;1.0;0.0;3.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.io.compress.CompressionMetadata;242.0;0.0;33.0;1.0;14.0;7.0;7.0;0.76;0.95;5.0;4.0;5.0;4.0;52.0;26.0;62.0;17.0;20.0;1.0;4.0;6.0;2.0;17.0;1.0;3.0;6.0;4.0;1.0;3.0;5.0;2.0;3.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0
org.apache.cassandra.config.Schema;454.0;0.0;47.0;1.0;78.0;36.0;409.0;0.9161290322580645;0.9466666666666667;10.0;2.0;31.0;31.0;79.0;93.0;66.0;67.0;25.0;3.0;12.0;1.0;2.0;15.0;2.0;1.0;8.0;2.0;0.0;1.0;4.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0
org.apache.cassandra.io.util.MmappedSegmentedFile;195.0;0.0;35.0;2.0;17.0;12.0;5.0;0.65;0.8125;4.0;1.0;5.0;4.0;30.0;0.0;0.0;24.0;26.0;1.0;24.0;6.0;1.0;16.0;1.0;4.0;9.0;1.0;0.0;2.0;2.0;0.0;4.0;2.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;4.0;0.0;0.0;0.0;0.0
org.apache.cassandra.cql3.statements.UpdateStatement;328.0;0.0;63.0;4.0;54.0;78.0;1.0;0.6666666666666667;0.8;7.0;0.0;6.0;3.0;111.0;6.0;54.0;84.0;88.0;6.0;1.0;2.0;0.0;28.0;0.0;1.0;1.0;1.0;1.0;1.0;21.0;5.0;1.0;12.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
org.apache.cassandra.tools.BulkLoader$ExternalClient;71.0;0.0;46.0;2.0;22.0;10.0;2.0;0.6666666666666667;1.0;4.0;0.0;3.0;2.0;22.0;2.0;14.0;13.0;40.0;2.0;27.0;2.0;0.0;10.0;0.0;2.0;6.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0
org.apache.cassandra.service.DatacenterSyncWriteResponseHandler;78.0;0.0;26.0;2.0;15.0;10.0;5.0;0.625;0.8333333333333334;4.0;0.0;4.0;4.0;27.0;2.0;21.0;15.0;21.0;3.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.thrift.CassandraDaemon$ThriftServer;107.0;0.0;47.0;2.0;5.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;2.0;53.0;0.0;0.0;7.0;3.0;0.0;8.0;2.0;0.0;6.0;0.0;2.0;2.0;1.0;0.0;1.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0
org.apache.cassandra.io.util.ColumnSet;79.0;0.0;19.0;1.0;13.0;2.0;77.0;0.9076923076923077;0.9833333333333334;5.0;0.0;13.0;13.0;1.0;0.0;0.0;15.0;2.0;1.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;1.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.utils.Pair;37.0;0.0;10.0;1.0;6.0;7.0;3.0;0.25;0.3333333333333333;2.0;2.0;4.0;4.0;5.0;143.0;8.0;11.0;6.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.db.KeyspaceNotDefinedException;5.0;0.0;3.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.locator.SimpleStrategy;37.0;0.0;21.0;2.0;15.0;8.0;0.0;1.0;0.0;0.0;0.0;3.0;3.0;15.0;3.0;19.0;11.0;15.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.gms.GossipDigestAckVerbHandler;52.0;0.0;28.0;1.0;22.0;8.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;27.0;2.0;25.0;9.0;47.0;2.0;26.0;1.0;0.0;7.0;0.0;1.0;5.0;1.0;0.0;1.0;1.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
org.apache.cassandra.thrift.CassandraDaemon;166.0;0.0;52.0;2.0;10.0;2.0;4.0;0.8214285714285714;1.0952380952380951;7.0;1.0;4.0;2.0;64.0;0.0;0.0;11.0;14.0;1.0;9.0;3.0;0.0;8.0;0.0;3.0;3.0;1.0;0.0;2.0;2.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0
org.apache.cassandra.db.MeteredFlusher;88.0;0.0;25.0;1.0;22.0;17.0;1.0;0.5;1.0;1.0;0.0;2.0;1.0;34.0;0.0;0.0;19.0;72.0;0.0;56.0;0.0;1.0;16.0;1.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
org.apache.cassandra.auth.Resources;17.0;0.0;8.0;1.0;4.0;4.0;0.0;1.0;1.0;2.0;2.0;1.0;1.0;7.0;4.0;16.0;5.0;11.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.cql3.statements.CreateColumnFamilyStatement;238.0;0.0;54.0;4.0;40.0;3.0;2.0;0.625;0.9375;8.0;0.0;3.0;2.0;102.0;0.0;0.0;30.0;33.0;0.0;104.0;2.0;0.0;43.0;0.0;2.0;24.0;3.0;2.0;1.0;14.0;4.0;2.0;19.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0
org.apache.cassandra.streaming.StreamRequestMessage;159.0;0.0;47.0;1.0;10.0;6.0;3.0;0.7083333333333333;1.0625;8.0;0.0;3.0;2.0;54.0;0.0;0.0;23.0;22.0;1.0;1.0;1.0;0.0;4.0;0.0;1.0;1.0;2.0;0.0;1.0;2.0;0.0;1.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
org.apache.cassandra.io.util.MmappedSegmentedFile$Builder;81.0;0.0;23.0;2.0;12.0;7.0;0.0;0.4444444444444444;0.6666666666666666;3.0;0.0;3.0;2.0;14.0;0.0;0.0;10.0;26.0;1.0;10.0;1.0;1.0;5.0;1.0;1.0;2.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
org.apache.cassandra.db.marshal.DoubleType;65.0;0.0;16.0;2.0;15.0;13.0;12.0;0.5;0.6;1.0;1.0;6.0;6.0;19.0;8.0;25.0;19.0;16.0;2.0;2.0;2.0;0.0;10.0;0.0;2.0;3.0;1.0;1.0;2.0;3.0;2.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0
org.apache.cassandra.gms.GossipDigestSynMessageSerializer;18.0;0.0;15.0;1.0;7.0;1.0;0.0;1.0;0.0;0.0;0.0;3.0;3.0;5.0;0.0;0.0;4.0;4.0;3.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.cql.SelectStatement;163.0;0.0;19.0;1.0;48.0;27.0;248.0;0.8253968253968254;0.8571428571428571;7.0;0.0;27.0;27.0;23.0;0.0;0.0;54.0;9.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.thrift.ThriftValidation;557.0;0.0;72.0;1.0;89.0;130.0;288.0;0.962962962962963;1.0;1.0;0.0;27.0;21.0;140.0;21.0;67.0;157.0;50.0;3.0;9.0;18.0;0.0;96.0;0.0;7.0;7.0;2.0;2.0;1.0;57.0;25.0;6.0;28.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0
