Project Name;Cassandra
Project Source Path;./Cassandra/Cassandra_1.1.0/src/java
Number of Units;747
Number of Exceptions;12
Lines of Code;87358.0
Catch Block Lines of Code;1353.0
Overall Number of Rules;16
Overall Number of Passing Rules;12
Number of Anti-Drift Rules;16
Number of Anit-Drift Passing Rules;12
Number of Anti-Erosion Rules;0
Number of Anti-Erosion Passing Rules;0
