Unit;LoC;NOC;CBO;DIT;RFC;WMC;LCOM;LCOM2;LCOM3;NoA;NoPA;NoM;NoPM;NoI;Ca;Ce;CCC;LMLoC;LPL;TLoC;CLoC;FLoC;ECC;FCC;HCC;TCC;RCo;SCo;HCo;NoR;NoS;NoH;TFC;NoCA;NoCI;NoCRN;NoDR;NoEH;NoGH;NoGS;NoNPB;NoOC;NoOCA;NoSF;NoSKS
org.apache.cassandra.db.marshal.InetAddressType;56.0;0.0;13.0;2.0;16.0;7.0;12.0;0.5;0.6;1.0;1.0;6.0;6.0;13.0;5.0;23.0;13.0;17.0;2.0;2.0;2.0;0.0;8.0;0.0;2.0;2.0;1.0;1.0;2.0;2.0;2.0;2.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0
org.apache.cassandra.hadoop.ColumnFamilyRecordWriter$RangeClient;157.0;0.0;36.0;2.0;27.0;21.0;5.0;0.6;0.75;7.0;0.0;5.0;4.0;26.0;0.0;0.0;26.0;71.0;1.0;9.0;18.0;0.0;25.0;0.0;11.0;8.0;2.0;1.0;2.0;4.0;2.0;5.0;1.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;5.0;0.0;0.0;0.0;0.0
org.apache.cassandra.io.compress.CompressionMetadata;378.0;0.0;51.0;1.0;23.0;11.0;12.0;0.6857142857142857;0.7999999999999999;5.0;4.0;7.0;6.0;75.0;26.0;62.0;34.0;26.0;1.0;92.0;13.0;3.0;45.0;2.0;11.0;19.0;5.0;0.0;4.0;13.0;0.0;11.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0
org.apache.cassandra.config.Schema;451.0;0.0;52.0;1.0;80.0;41.0;482.0;0.9272727272727272;0.95625;10.0;4.0;33.0;33.0;77.0;93.0;66.0;74.0;20.0;3.0;14.0;3.0;0.0;19.0;0.0;3.0;8.0;4.0;1.0;3.0;7.0;1.0;3.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0
org.apache.cassandra.cql3.statements.UpdateStatement;371.0;0.0;80.0;4.0;72.0;100.0;15.0;0.746031746031746;0.8392857142857143;7.0;0.0;9.0;4.0;132.0;6.0;54.0;109.0;99.0;6.0;0.0;0.0;0.0;32.0;0.0;0.0;0.0;1.0;3.0;0.0;24.0;9.0;0.0;18.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
org.apache.cassandra.tools.BulkLoader$ExternalClient;78.0;0.0;48.0;2.0;27.0;10.0;2.0;0.6;0.9;5.0;0.0;3.0;2.0;28.0;2.0;14.0;13.0;37.0;4.0;24.0;2.0;0.0;9.0;0.0;2.0;5.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0
org.apache.cassandra.service.DatacenterSyncWriteResponseHandler;97.0;0.0;29.0;2.0;21.0;12.0;6.0;0.64;0.8;5.0;0.0;5.0;3.0;37.0;2.0;21.0;18.0;21.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.io.util.ColumnSet;79.0;0.0;19.0;1.0;13.0;2.0;77.0;0.9076923076923077;0.9833333333333334;5.0;0.0;13.0;13.0;1.0;0.0;0.0;15.0;2.0;1.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;1.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.thrift.ThriftValidation;553.0;0.0;72.0;1.0;88.0;126.0;244.0;0.96;1.0;1.0;0.0;25.0;20.0;143.0;21.0;67.0;151.0;50.0;3.0;9.0;18.0;0.0;92.0;0.0;7.0;7.0;2.0;2.0;1.0;56.0;22.0;6.0;28.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0
org.apache.cassandra.thrift.ThriftConversion;75.0;0.0;21.0;1.0;12.0;45.0;0.0;1.0;0.0;0.0;0.0;8.0;8.0;8.0;2.0;104.0;53.0;13.0;1.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;3.0;2.0;0.0;4.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
