Unit;LoC;NOC;CBO;DIT;RFC;WMC;LCOM;LCOM2;LCOM3;NoA;NoPA;NoM;NoPM;NoI;Ca;Ce;CCC;LMLoC;LPL;TLoC;CLoC;FLoC;ECC;FCC;HCC;TCC;RCo;SCo;HCo;NoR;NoS;NoH;TFC;NoCA;NoCI;NoCRN;NoDR;NoEH;NoGH;NoGS;NoNPB;NoOC;NoOCA;NoSF;NoSKS
org.apache.cassandra.gms.GossipDigestAck2MessageSerializer;12.0;0.0;13.0;1.0;4.0;1.0;0.0;1.0;0.0;0.0;0.0;2.0;2.0;3.0;0.0;0.0;3.0;3.0;3.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.hadoop.ColumnFamilyRecordWriter$RangeClient;157.0;0.0;42.0;2.0;27.0;21.0;5.0;0.6;0.75;7.0;0.0;5.0;4.0;26.0;0.0;0.0;26.0;71.0;1.0;9.0;18.0;0.0;25.0;0.0;11.0;8.0;2.0;1.0;2.0;4.0;2.0;5.0;1.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;5.0;0.0;0.0;0.0;0.0
org.apache.cassandra.cli.CliUserHelp;6.0;0.0;5.0;1.0;0.0;0.0;0.0;1.0;0.0;3.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.io.compress.CompressionMetadata;216.0;0.0;28.0;1.0;8.0;6.0;2.0;0.7;0.9333333333333332;5.0;5.0;4.0;3.0;46.0;26.0;62.0;15.0;20.0;1.0;3.0;5.0;2.0;13.0;1.0;2.0;4.0;3.0;1.0;2.0;4.0;2.0;2.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0
org.apache.cassandra.config.Schema;393.0;0.0;41.0;1.0;57.0;29.0;314.0;0.9007936507936508;0.934156378600823;9.0;2.0;28.0;28.0;51.0;93.0;66.0;57.0;27.0;3.0;1.0;1.0;0.0;9.0;0.0;1.0;1.0;4.0;1.0;1.0;6.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
org.apache.cassandra.io.util.MmappedSegmentedFile;195.0;0.0;35.0;2.0;17.0;12.0;5.0;0.65;0.8125;4.0;1.0;5.0;4.0;30.0;0.0;0.0;24.0;26.0;1.0;24.0;6.0;1.0;16.0;1.0;4.0;9.0;1.0;0.0;2.0;2.0;0.0;4.0;2.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;4.0;0.0;0.0;0.0;0.0
org.apache.cassandra.tools.BulkLoader$ExternalClient;83.0;0.0;51.0;2.0;30.0;8.0;4.0;0.625;0.8333333333333334;2.0;0.0;4.0;3.0;28.0;2.0;14.0;12.0;50.0;2.0;49.0;2.0;0.0;15.0;0.0;2.0;9.0;2.0;1.0;2.0;3.0;1.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0
org.apache.cassandra.service.DatacenterSyncWriteResponseHandler;78.0;0.0;26.0;2.0;15.0;10.0;5.0;0.625;0.8333333333333334;4.0;0.0;4.0;4.0;27.0;2.0;21.0;15.0;21.0;3.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.thrift.CassandraDaemon$ThriftServer;107.0;0.0;46.0;2.0;5.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;2.0;54.0;0.0;0.0;7.0;3.0;0.0;8.0;2.0;0.0;6.0;0.0;2.0;2.0;1.0;0.0;1.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0
org.apache.cassandra.io.util.ColumnSet;79.0;0.0;17.0;1.0;13.0;2.0;77.0;0.9076923076923077;0.9833333333333334;5.0;0.0;13.0;13.0;1.0;0.0;0.0;15.0;2.0;1.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;1.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
