Unit;CPT01;
org.apache.cassandra.auth.AllowAllAuthenticator;X;
org.apache.cassandra.auth.AllowAllAuthorizer;X;
org.apache.cassandra.auth.AllowAllInternodeAuthenticator;X;
org.apache.cassandra.auth.Auth;X;
org.apache.cassandra.auth.Auth$MigrationListener;X;
org.apache.cassandra.auth.AuthenticatedUser;X;
org.apache.cassandra.auth.CassandraAuthorizer;X;
org.apache.cassandra.auth.DataResource;X;
org.apache.cassandra.auth.IAuthenticator;X;
org.apache.cassandra.auth.IAuthorizer;X;
org.apache.cassandra.auth.IInternodeAuthenticator;X;
org.apache.cassandra.auth.IResource;X;
org.apache.cassandra.auth.ISaslAwareAuthenticator;X;
org.apache.cassandra.auth.ISaslAwareAuthenticator$SaslAuthenticator;X;
org.apache.cassandra.auth.LegacyAuthenticator;X;
org.apache.cassandra.auth.LegacyAuthorizer;X;
org.apache.cassandra.auth.PasswordAuthenticator;X;
org.apache.cassandra.auth.PasswordAuthenticator$PlainTextSaslAuthenticator;X;
org.apache.cassandra.auth.PermissionDetails;X;
org.apache.cassandra.auth.Resources;X;
org.apache.cassandra.cache.AutoSavingCache;X;
org.apache.cassandra.cache.AutoSavingCache$CacheSerializer;X;
org.apache.cassandra.cache.AutoSavingCache$Writer;X;
org.apache.cassandra.cache.CacheKey;X;
org.apache.cassandra.cache.CacheKey$PathInfo;X;
org.apache.cassandra.cache.CachingOptions;X;
org.apache.cassandra.cache.CachingOptions$KeyCache;X;
org.apache.cassandra.cache.CachingOptions$RowCache;X;
org.apache.cassandra.cache.ConcurrentLinkedHashCache;X;
org.apache.cassandra.cache.CounterCacheKey;X;
org.apache.cassandra.cache.ICache;X;
org.apache.cassandra.cache.IMeasurableMemory;X;
org.apache.cassandra.cache.IRowCacheEntry;X;
org.apache.cassandra.cache.InstrumentingCache;X;
org.apache.cassandra.cache.KeyCacheKey;X;
org.apache.cassandra.cache.RefCountedMemory;X;
org.apache.cassandra.cache.RowCacheKey;X;
org.apache.cassandra.cache.RowCacheSentinel;X;
org.apache.cassandra.cache.SerializingCache;X;
org.apache.cassandra.cache.SerializingCacheProvider;X;
org.apache.cassandra.cache.SerializingCacheProvider$RowCacheSerializer;X;
org.apache.cassandra.cli.CliClient;X;
org.apache.cassandra.cli.CliClient$CfAssumptions;X;
org.apache.cassandra.cli.CliClient$CfDefNamesComparator;X;
org.apache.cassandra.cli.CliClient$KsDefNamesComparator;X;
org.apache.cassandra.cli.CliCommandHelp;X;
org.apache.cassandra.cli.CliCompiler;X;
org.apache.cassandra.cli.CliCompiler$ANTLRNoCaseStringStream;X;
org.apache.cassandra.cli.CliCompleter;X;
org.apache.cassandra.cli.CliMain;X;
org.apache.cassandra.cli.CliOptions;X;
org.apache.cassandra.cli.CliOptions$CLIOptions;X;
org.apache.cassandra.cli.CliSessionState;X;
org.apache.cassandra.cli.CliUserHelp;X;
org.apache.cassandra.cli.CliUtils;X;
org.apache.cassandra.cli.transport.FramedTransportFactory;X;
org.apache.cassandra.cli.transport.SSLTransportFactory;X;
org.apache.cassandra.client.RingCache;X;
org.apache.cassandra.concurrent.AbstractTracingAwareExecutorService;X;
org.apache.cassandra.concurrent.AbstractTracingAwareExecutorService$FutureTask;X;
org.apache.cassandra.concurrent.AbstractTracingAwareExecutorService$TraceSessionFutureTask;X;
org.apache.cassandra.concurrent.DebuggableScheduledThreadPoolExecutor;X;
org.apache.cassandra.concurrent.DebuggableScheduledThreadPoolExecutor$UncomplainingRunnable;X;
org.apache.cassandra.concurrent.DebuggableThreadPoolExecutor;X;
org.apache.cassandra.concurrent.DebuggableThreadPoolExecutor$TraceSessionWrapper;X;
org.apache.cassandra.concurrent.IExecutorMBean;X;
org.apache.cassandra.concurrent.JMXConfigurableThreadPoolExecutor;X;
org.apache.cassandra.concurrent.JMXConfigurableThreadPoolExecutorMBean;X;
org.apache.cassandra.concurrent.JMXEnabledSharedExecutorPool;X;
org.apache.cassandra.concurrent.JMXEnabledSharedExecutorPool$JMXEnabledSEPExecutor;X;
org.apache.cassandra.concurrent.JMXEnabledSharedExecutorPool$JMXEnabledSEPExecutorMBean;X;
org.apache.cassandra.concurrent.JMXEnabledThreadPoolExecutor;X;
org.apache.cassandra.concurrent.JMXEnabledThreadPoolExecutorMBean;X;
org.apache.cassandra.concurrent.NamedThreadFactory;X;
org.apache.cassandra.concurrent.SEPExecutor;X;
org.apache.cassandra.concurrent.SEPWorker;X;
