Unit;LoC;NOC;CBO;DIT;RFC;WMC;LCOM;LCOM2;LCOM3;NoA;NoPA;NoM;NoPM;NoI;Ca;Ce;CCC;LMLoC;LPL;TLoC;CLoC;FLoC;ECC;FCC;HCC;TCC;RCo;SCo;HCo;NoR;NoS;NoH;TFC;NoCA;NoCI;NoCRN;NoDR;NoEH;NoGH;NoGS;NoNPB;NoOC;NoOCA;NoSF;NoSKS
org.apache.cassandra.db.marshal.InetAddressType;44.0;0.0;15.0;2.0;10.0;7.0;10.0;0.8;1.0;1.0;1.0;5.0;5.0;6.0;5.0;23.0;12.0;17.0;2.0;1.0;1.0;0.0;4.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0
org.apache.cassandra.hadoop.ColumnFamilyRecordWriter$RangeClient;89.0;0.0;34.0;3.0;18.0;14.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;21.0;0.0;0.0;15.0;72.0;0.0;7.0;16.0;0.0;13.0;0.0;9.0;4.0;0.0;0.0;2.0;0.0;0.0;3.0;1.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;3.0;0.0;0.0;0.0;0.0
org.apache.cassandra.io.compress.CompressionMetadata;362.0;0.0;54.0;1.0;24.0;13.0;12.0;0.7142857142857143;0.8333333333333334;7.0;5.0;7.0;6.0;74.0;26.0;62.0;39.0;26.0;1.0;61.0;8.0;2.0;27.0;2.0;6.0;12.0;4.0;0.0;4.0;7.0;0.0;6.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0
org.apache.cassandra.transport.messages.AuthChallenge;34.0;0.0;14.0;3.0;1.0;1.0;0.0;0.5;0.5;2.0;1.0;1.0;1.0;7.0;3.0;15.0;4.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.tools.NodeTool$CfStats;220.0;0.0;40.0;2.0;28.0;18.0;0.0;0.0;0.0;2.0;0.0;1.0;1.0;128.0;0.0;0.0;36.0;133.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.sink.SinkManager;71.0;0.0;16.0;1.0;15.0;18.0;12.0;0.4375;0.5;2.0;0.0;8.0;8.0;13.0;0.0;0.0;26.0;11.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.config.Schema;384.0;0.0;47.0;1.0;71.0;36.0;306.0;0.9094650205761317;0.9444444444444445;9.0;4.0;27.0;27.0;76.0;93.0;66.0;63.0;23.0;2.0;17.0;3.0;0.0;16.0;0.0;3.0;8.0;3.0;0.0;3.0;5.0;0.0;3.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0
org.apache.cassandra.db.BufferCounterCell;148.0;0.0;29.0;3.0;51.0;22.0;130.0;0.5263157894736843;0.5555555555555556;1.0;0.0;19.0;19.0;43.0;0.0;0.0;41.0;8.0;5.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.cql3.statements.UpdateStatement;184.0;0.0;50.0;2.0;17.0;12.0;1.0;0.5;1.0;1.0;0.0;2.0;2.0;56.0;6.0;54.0;36.0;47.0;4.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;1.0;1.0;0.0;9.0;1.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.db.compaction.CompactionManager$CleanupStrategy;95.0;2.0;31.0;1.0;4.0;1.0;0.0;1.0;0.0;0.0;0.0;3.0;3.0;23.0;4.0;24.0;17.0;4.0;2.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
