Unit;LoC;NOC;CBO;DIT;RFC;WMC;LCOM;LCOM2;LCOM3;NoA;NoPA;NoM;NoPM;NoI;Ca;Ce;CCC;LMLoC;LPL;TLoC;CLoC;FLoC;ECC;FCC;HCC;TCC;RCo;SCo;HCo;NoR;NoS;NoH;TFC;NoCA;NoCI;NoCRN;NoDR;NoEH;NoGH;NoGS;NoNPB;NoOC;NoOCA;NoSF;NoSKS
org.apache.cassandra.db.marshal.InetAddressType;69.0;0.0;24.0;2.0;19.0;10.0;27.0;0.75;0.8571428571428571;1.0;1.0;8.0;8.0;13.0;5.0;23.0;18.0;17.0;2.0;2.0;3.0;0.0;9.0;0.0;2.0;3.0;1.0;1.0;2.0;2.0;2.0;2.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0
org.apache.cassandra.tools.nodetool.PauseHandoff;6.0;0.0;8.0;2.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;2.0;2.0;8.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.cql3.statements.DropRoleStatement;47.0;0.0;20.0;3.0;18.0;11.0;0.0;0.16666666666666663;0.25;2.0;0.0;3.0;3.0;27.0;1.0;20.0;14.0;10.0;1.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;2.0;3.0;0.0;3.0;4.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
org.apache.cassandra.io.sstable.format.big.SSTableNamesIterator;225.0;0.0;52.0;2.0;46.0;40.0;18.0;0.7083333333333333;0.8095238095238094;6.0;2.0;8.0;3.0;70.0;0.0;0.0;51.0;62.0;6.0;4.0;5.0;2.0;14.0;2.0;3.0;3.0;2.0;1.0;2.0;3.0;3.0;3.0;12.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;0.0;1.0;0.0
org.apache.cassandra.transport.messages.AuthChallenge;34.0;0.0;14.0;3.0;1.0;1.0;0.0;0.5;0.5;2.0;1.0;1.0;1.0;7.0;3.0;15.0;4.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.config.Schema;563.0;0.0;52.0;1.0;122.0;33.0;684.0;0.8660714285714286;0.8871951219512195;8.0;3.0;42.0;42.0;169.0;93.0;66.0;75.0;33.0;2.0;1.0;1.0;0.0;5.0;0.0;1.0;1.0;3.0;0.0;1.0;3.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
org.apache.cassandra.cql3.statements.UpdateStatement;272.0;0.0;61.0;2.0;28.0;16.0;5.0;0.75;1.0;1.0;0.0;4.0;3.0;78.0;6.0;54.0;44.0;52.0;5.0;0.0;0.0;0.0;14.0;0.0;0.0;0.0;1.0;1.0;0.0;12.0;2.0;0.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.tools.BulkLoader$ExternalClient;25.0;0.0;14.0;3.0;1.0;1.0;0.0;0.0;0.0;3.0;0.0;1.0;1.0;1.0;2.0;14.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.service.DatacenterSyncWriteResponseHandler;61.0;0.0;23.0;2.0;11.0;5.0;2.0;0.5555555555555556;0.8333333333333334;3.0;0.0;3.0;2.0;18.0;2.0;21.0;10.0;16.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.cql3.statements.DropTriggerStatement;42.0;0.0;22.0;4.0;14.0;5.0;6.0;0.75;1.0;3.0;0.0;4.0;4.0;16.0;1.0;26.0;9.0;11.0;1.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;1.0;4.0;0.0;1.0;4.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
org.apache.cassandra.cql3.statements.ModificationStatement$Parsed;84.0;4.0;25.0;3.0;22.0;18.0;3.0;0.6666666666666667;1.0;4.0;0.0;3.0;2.0;31.0;12.0;32.0;21.0;57.0;3.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;1.0;1.0;0.0;4.0;3.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
