Unit;LoC;NOC;CBO;DIT;RFC;WMC;LCOM;LCOM2;LCOM3;NoA;NoPA;NoM;NoPM;NoI;Ca;Ce;CCC;LMLoC;LPL;TLoC;CLoC;FLoC;ECC;FCC;HCC;TCC;RCo;SCo;HCo;NoR;NoS;NoH;TFC;NoCA;NoCI;NoCRN;NoDR;NoEH;NoGH;NoGS;NoNPB;NoOC;NoOCA;NoSF;NoSKS
org.apache.cassandra.cql3.statements.ModificationStatement;573.0;2.0;101.0;1.0;116.0;103.0;448.0;0.8713235294117647;0.8977272727272727;8.0;1.0;34.0;21.0;215.0;19.0;114.0;155.0;48.0;6.0;1.0;1.0;0.0;43.0;0.0;1.0;1.0;2.0;4.0;1.0;21.0;28.0;1.0;43.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;8.0
org.apache.cassandra.thrift.ThriftSessionManager;42.0;0.0;15.0;1.0;10.0;3.0;1.0;0.5833333333333333;0.875;4.0;1.0;3.0;3.0;9.0;6.0;15.0;6.0;11.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.cql3.statements.ColumnGroupMap$Builder;66.0;0.0;15.0;1.0;10.0;11.0;1.0;0.4444444444444444;0.6666666666666666;6.0;0.0;3.0;2.0;11.0;0.0;0.0;14.0;21.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.thrift.TServerFactory$Args;10.0;0.0;9.0;1.0;0.0;0.0;0.0;1.0;0.0;9.0;9.0;0.0;0.0;1.0;11.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.utils.BoundedStatsDeque;53.0;0.0;12.0;1.0;12.0;6.0;5.0;0.16666666666666663;0.2;1.0;0.0;6.0;6.0;10.0;0.0;0.0;12.0;13.0;1.0;1.0;1.0;0.0;2.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
org.apache.cassandra.utils.CounterId$OneShotRenewer;18.0;0.0;6.0;1.0;3.0;2.0;0.0;0.0;0.0;2.0;0.0;1.0;1.0;4.0;0.0;0.0;3.0;6.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.cql3.QueryOptions;200.0;2.0;24.0;1.0;6.0;6.0;12.0;0.8333333333333334;1.0;6.0;2.0;6.0;6.0;67.0;144.0;46.0;32.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.db.WriteResponse$WriteResponseSerializer;14.0;0.0;10.0;1.0;3.0;2.0;0.0;1.0;0.0;0.0;0.0;3.0;3.0;1.0;0.0;0.0;5.0;2.0;3.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.serializers.DoubleSerializer;30.0;0.0;14.0;1.0;10.0;8.0;10.0;1.0;1.25;1.0;1.0;5.0;5.0;9.0;2.0;14.0;13.0;4.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.db.CounterMutation;129.0;0.0;41.0;1.0;39.0;24.0;45.0;0.6904761904761905;0.7435897435897437;3.0;1.0;14.0;13.0;47.0;8.0;79.0;38.0;23.0;5.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
