Rule Id;Violation Kind;Violating Unit;Violation Label;First Unit;Second Unit
ADR13;DRIFT;org.apache.cassandra.db.marshal.InetAddressType;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.hadoop.ColumnFamilyRecordWriter$RangeClient;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.io.compress.CompressionMetadata;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.transport.messages.AuthChallenge;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.config.Schema;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.db.SuperColumns$SCFilter;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.cql3.statements.UpdateStatement;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.tools.BulkLoader$ExternalClient;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.service.DatacenterSyncWriteResponseHandler;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.cql3.statements.DropTriggerStatement;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.db.filter.ExtendedFilter$WithClauses;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.cql3.statements.ModificationStatement$Parsed;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.cql3.statements.DropTableStatement;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.thrift.ThriftValidation;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.thrift.ThriftConversion;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.db.compaction.SizeTieredCompactionStrategy;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.utils.CounterId$LocalIds;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.cql3.CFDefinition$NonCompositeBuilder;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.utils.UUIDGen;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.gms.GossipDigestAckSerializer;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.db.compaction.LazilyCompactedRow;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.locator.AbstractNetworkTopologySnitch;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.metrics.ColumnFamilyMetrics;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.service.paxos.PaxosState;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.service.pager.PagingState;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.cql3.statements.ListPermissionsStatement;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.db.RowIndexEntry$IndexedEntry;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.cql3.Lists$SetterByIndex;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.transport.Event$SchemaChange;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.io.sstable.IndexHelper;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.cql.AbstractModification;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.io.sstable.SSTableLoader;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.cli.transport.SSLTransportFactory;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.locator.Ec2MultiRegionSnitch;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.gms.VersionedValue$VersionedValueSerializer;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.cql3.QueryProcessor;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.db.index.composites.CompositesIndexOnPartitionKey;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.exceptions.AlreadyExistsException;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.db.commitlog.CommitLogAllocator;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.metrics.DroppedMessageMetrics;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.dht.AbstractPartitioner;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.utils.MerkleTree;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.cli.CliClient$CfDefNamesComparator;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.db.SliceFromReadCommandSerializer;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.gms.EchoMessage$EchoMessageSerializer;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.db.CounterColumn;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.utils.BiMultiValMap;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.db.RowMutation;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.db.marshal.LocalByPartionerType;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.db.filter.SliceQueryFilter$Serializer;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.cli.CliMain;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.utils.GuidGenerator;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.transport.Event$TopologyChange;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.streaming.management.SessionCompleteEventCompositeData;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.db.compaction.LeveledCompactionTask;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.cql3.UntypedResultSet;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.io.util.RandomAccessReader;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.cql3.statements.ModificationStatement;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.thrift.ThriftSessionManager;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.cql3.statements.ColumnGroupMap$Builder;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.thrift.TServerFactory$Args;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.utils.BoundedStatsDeque;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.utils.CounterId$OneShotRenewer;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.db.WriteResponse$WriteResponseSerializer;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.serializers.DoubleSerializer;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.db.CounterMutation;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.concurrent.JMXEnabledThreadPoolExecutor;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.db.EmptyColumns;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.tools.StandaloneScrubber;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.cql.Term;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.db.columniterator.IndexedSliceReader;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.db.compaction.SSTableSplitter;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.transport.Frame$Compressor;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.db.MigrationRequestVerbHandler;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.hadoop.cql3.CqlPagingInputFormat;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.net.CompactEndpointSerializationHelper;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.gms.VersionedValue$VersionedValueFactory;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.db.compaction.CompactionManager$CompactionExecutor;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.utils.MerkleTree$Leaf;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.cassandra.service.StorageProxy$LocalRangeSliceRunnable;(Ce / (Ce + Ca)) <= 0.3;none;none
